question,options,answer,subject,topic tag,year
Which one of the following Carnatic music ragas is similar to Raga Bilawal in Hindustani music ?,"A. Nat Bhairavi
B. Kamavardhini
C. Hanumatodi
D. Dheera Shankarabharanam",D,Art & Culture,Art & Culture -> Indian Classical Music,2026
The artificially fixed rupee-sterling exchange rate prescribed by the Hilton-Young Commission (1926) was adopted by the British Government for which one of the following reasons ?,"A. Aiding the flow of remittances from India and maintaining India's creditworthiness
B. Providing support to Indian importers
C. Encouraging export of cotton produce from India
D. Preventing depreciation of the Rupee in terms of gold",A,History,History -> Colonial Economy & Currency Policy,2026
"Consider the following statements :

I. Pali texts contain the first definite references to coins, e.g., **kahapana**, **nikkha**, **kamsa**, and **kakanika**.
II. The literary evidence from Pali texts is corroborated by archaeological evidence of punch-marked coins from many sites, most of them made of silver.

The above statements have been associated with which of the following ?

1. Emergence of urban life
2. Transition to money economy

Select the answer using the code given below :","A. 1 only
B. 2 only
C. Both 1 and 2
D. Neither 1 nor 2",C,History,History -> Second Urbanization & Coinage,2026
"Which of the following temples has/have a Nagara-style shikhara ?

1. Malegitti Shivalaya, Badami
2. Huchimalligudi Temple, Aihole
3. Dashavatara Temple, Deogarh
4. Virupaksha Temple, Pattadakal

Select the answer using the code given below :","A. 1 and 2
B. 2 and 3
C. 3 only
D. 3 and 4",B,Art & Culture,Art & Culture -> Temple Architecture & Nagara Style,2026
"Among the four main forms of existence of life recognized in Jainism, which one of the following is **not** included ?","A. Deva (gods)
B. Yaksha (demi-gods)
C. Manushya (humans)
D. Tiryancha (animals and plants)",B,Art & Culture,Art & Culture -> Jain Philosophy & Cosmology,2026
The Hallisalasya painting in the Bagh Caves represents :,"A. A joyous folk dance
B. Buddha in a meditative pose
C. The depiction of Shiva and Parvati on Kailasha
D. Samudramanthan (Churning of the Ocean)",A,Art & Culture,Art & Culture -> Cave Paintings & Bagh Caves,2026
"Consider the following statements relating to the use of the place-value system in India :

1. The earliest epigraphic use of the place-value system in India is found in the Mankani plates from Gujarat (AD 595 - 596).
2. In the ninth century, place-values become general in inscriptions all over India.
3. The place-values have been found in Sanskrit inscriptions in South-east Asia as early as the seventh century.

Which of the statements given above are correct ?","A. 1 and 2 only
B. 1 and 3 only
C. 2 and 3 only
D. 1, 2 and 3",D,History,History -> Ancient Indian Mathematics & Epigraphy,2026
"Consider the following statements about the archaeological findings in Harappan towns :

I. There is wide occurrence of spindle-whorls in the houses but absence of spinning wheels.
II. Weights and measurement scales, complete with graduations have been discovered.
III. There are houses built in large part with baked bricks, around relatively spacious courtyards, with their own wells, bathing platforms, and large rooms.

Which of the following inferences can be drawn from the above statements ?

1. Statement I suggests that spinning was a laborious activity done at home.
2. Statement II suggests the extent of the scientific knowledge that the Harappans possessed.
3. Statement III suggests the emergence of a common property system.

Select the answer using the code given below :","A. 1 and 2 only
B. 2 and 3 only
C. 1 and 3 only
D. 1, 2 and 3",A,History,History -> Harappan Civilization & Urban Planning,2026
Which one of the following statements about the Eka Movement and Bardoli Satyagraha is correct ?,"A. The Eka Movement was throughout supported and organized by the Congress while Bardoli Satyagraha was initially independent of Congress influence and was only in the last stages supported by the Congress.
B. The Eka Movement was provided leadership by the taluqdars of Awadh, whereas the Bardoli Satyagraha was a movement of the landless labourers.
C. The Bardoli Satyagraha was a campaign against the enhancement of land revenue, while the Eka Movement was a protest against excessive extraction of rents.
D. The Eka Movement was located in the Varanasi and Mirzapur districts of the present-day U.P., while the Bardoli Satyagraha took place in Saurashtra.",C,History,History -> Peasant Movements & Satyagraha,2026
"Consider the following statements about the Rigvedic period :

I. Irrigation from wells allowed agriculture to expand away from flood plains and strips on river margins into the present Punjab and Haryana plains having underground water levels reasonably close to the surface.
II. Draught-animal power was employed to draw up water out of the wells.

Which of the following information support/supports the above statements ?

1. There is evidence in the Rigveda of the use of ashma chakra (stone pulley wheel) and ahava (strapped wooden pails) to draw up water.
2. Mention has been made in the Rigveda of the use of implements like parashu / kulisha (axe) and datra / sreni (sickle).
3. There is a history of the use of ox, even before the Rigveda, for ploughing the land and pulling the carts.

Select the answer using the code given below :","A. 1 and 2 only
B. 1, 2 and 3
C. 1 and 3 only
D. 3 only",C,History,History -> Vedic Period & Early Agriculture,2026
"Consider the following assertion :

In the Pleistocene period either the Yamuna once flowed into the Indus, or the Sutlej flowed into the Yamuna and one major tributary of either had shifted from the Ganga to the Indus or vice versa.

Which of the following is/are the basis of the above assertion ?

1. The Nadi-Sukta of the Rigveda
2. The explorations of the Sutlej and the Yamuna by Robert Bruce Foote
3. The presence of the same species of dolphins in both the Indus and the Ganga river systems

Select the answer using the code given below :","A. 1 only
B. 2 only
C. 1 and 2
D. 3",D,Geography,Geography -> River Systems & Pleistocene Drainage,2026
What does an empty seat represent in early Buddhist iconography ?,"A. The meditation of the Buddha
B. The Buddha's First Sermon
C. The Buddha's Mahaparinibbana
D. The Buddha's Mahabhinishkramana",A,Art & Culture,Art & Culture -> Buddhist Iconography & Symbols,2026
"Which of the following pairs of ancient and modern names of rivers is/are correctly matched ?

1. Vitasta : Chenab
2. Asikni : Jhelum
3. Parushni : Ravi
4. Yavyavati : Beas

Select the answer using the code given below :","A. 1 and 2
B. 3 and 4
C. 3 only
D. 4 only",C,History,History -> Vedic Rivers & Historical Geography,2026
"Which of the following statements on the Amaravati Stupa and its relief sculpture is/are correct ?

1. It was located in the lower Krishna valley.
2. In India, it was next only to the Sanchi Stupa in size.
3. The Amaravati school of sculpture made a lasting impact on the later South Indian sculpture, and its products were carried to Sri Lanka and South-east Asia.

Select the answer using the code given below :","A. 1 only
B. 1 and 3 only
C. 2 and 3 only
D. 1, 2 and 3",B,Art & Culture,Art & Culture -> Stupa Architecture & Amaravati School,2026
"Which of the following pairs of the king and his dynasty in early historical Tamilakam is/are **not** correctly matched ?

1. Senguttuvan : Chera
2. Udiyanjeral : Chola
3. Nedunjeliyan : Pandya

Select the answer using the code given below :","A. 1 and 2
B. 2 only
C. 1 and 3
D. 3 only",B,History,History -> Sangam Age Dynasties,2026
"Which of the following factors contributed to the formation of the Forward Bloc by Subhas Chandra Bose in 1939 ?

1. Bose failed to win the confidence of Mahatma Gandhi.
2. The Congress Left was disunited and failed to support Bose.
3. The Communists did not support Bose in his endeavours.
4. The supporters of M.N. Roy and socialist leaders like Jayaprakash Narayan preferred Congress unity to supporting Bose.

Select the answer using the code given below :","A. 1, 2 and 3
B. 1, 2 and 4
C. 1, 3 and 4
D. 2 and 4 only",B,History,History -> Freedom Struggle & Forward Bloc,2026
"Consider the following statements regarding the British policy in Awadh immediately after its annexation in 1856 :

1. The **taluqdars** were dispossessed of their estates but allowed to retain their arms and forts.
2. A Summary Revenue Settlement was made in 1856 assuming that the **taluqdars** were outsiders.
3. The British believed in taking revenue directly from the peasants by removing the **taluqdars**.

Which of the statements given above is/are correct ?","A. 2 and 3 only
B. 1 and 3 only
C. 1, 2 and 3
D. 2 only",A,History,History -> British Colonial Policies & Awadh Annexation,2026
"Consider the following assertion :

**The genesis of political alliances based on community lay in the very nature of the Montague-Chelmsford Reforms, 1919.**

Which of the following statements support/supports the above assertion ?

1. Reforms retained and extended the principle of separate electorates.
2. Separate electorates were supposed to counter Indian nationalism, which was growing stronger.
3. Deprived classes rallied around the favours inherent in separate electorates.

Select the answer using the code given below :","A. 1 only
B. 2 and 3 only
C. 1 and 2 only
D. 1, 2 and 3",D,History,History -> Communal Politics & Colonial Constitutional Reforms,2026
"Pandit Mallikarjun Mansur, the famous classical singer from Karnataka, represented the :","A. Agra Gharana
B. Gwalior Gharana
C. Patiala Gharana
D. Jaipur-Atrauli Gharana",C,Art & Culture,Art & Culture -> Classical Music Gharanas,2026
In which one among the following texts does the term **kshetra-patni** ('mistress of the field') originate ?,"A. Rigveda
B. Atharvaveda
C. Ashtadhyayi
D. Arthashastra",A,History,History -> Ancient Vedic Literature & Terminology,2026
"Consider the following statements with reference to India's response to climate change :

I. India's Long-Term Low Emission Development Strategy (LT-LEDS) is a crucial tool for achieving net-zero emissions by 2070.
II. India's 4th Biennial Update Report (BUR-4) submitted in December, 2024 recorded around 8% decrease in Greenhouse gas emissions in 2020 over 2019.
III. Climate-resilient development necessarily depends on quick and short-term achievement of emission reduction targets.

Which of the following relationships among the above statements is/are correct ?

1. Statement I is empirically supported by statement II.
2. Statement III contradicts the approach implicit in statement I.
3. Statement I and statement III together establish the premise of long-term sustainability.

Select the answer using the code given below :","A. 1 only
B. 1 and 2
C. 2 and 3
D. 3 only",B,Environment & Ecology,Environment & Ecology -> Climate Change Policy & LT-LEDS,2026
"With respect to the Western Hoolock Gibbons, which of the following statements is/are correct?

1. A Sanctuary in North-east India is home to this ape species listed as Endangered in the International Union for Conservation of Nature (IUCN) Red List.
2. They have specialized brachiation and can easily swing between trees.
3. They possess a strong and heavy build like gorillas, yet are remarkably agile tree climbers.

Select the answer using the code given below:","A. 1 only
B. 1 and 2
C. 2 and 3
D. 3 only",A,Environment & Ecology,Environment & Ecology -> Wildlife & Western Hoolock Gibbon,2026
"Which of the following best explain(s) the rationale for protecting mangrove ecosystems in the context of climate resilience?

1. Mangroves reduce tidal energy and store freshwater, making them ideal sites for paddy cultivation in saline estuarine belts.
2. Their salt-sensitive roots filter seawater, making mangroves key to converting coastal land into freshwater aquaculture zones.
3. By withstanding tidal surges and offering biomass resources, mangroves function both as natural bio-shields and livelihood bases for rural communities.

Select the answer using the code given below:","A. 1 only
B. 1 and 2
C. 2 and 3
D. 3 only",C,Environment & Ecology,Environment & Ecology -> Mangrove Ecosystems & Coastal Resilience,2026
"In what way(s) does the Vizhinjam International Seaport represent a structural shift in India's maritime trade and logistics policy?

1. By functioning exclusively as a domestic cargo hub to reduce reliance on coastal shipping and eliminate the need for foreign collaborations.
2. By focusing primarily on passenger cruise tourism and heritage shipping to increase Kerala's profile as a maritime heritage destination.
3. By leveraging its natural deep draft and strategic location to reduce dependence on foreign trans-shipment ports, enhance revenue retention, and reposition India in regional maritime trade.

Select the answer using the code given below:","A. 1 only
B. 1 and 2
C. 2 and 3
D. 3 only",C,Economy,Economy -> Port Infrastructure & Transshipment,2026
"Identify the river of the Indian sub-continent on the basis of the following information:

1. It has an antecedent drainage system.
2. It flows through three countries.
3. It originates in the Tibetan Plateau and is an important river for irrigation.
4. It does not form distributaries.

Select the answer from the following:","A. Brahmaputra
B. Indus
C. Sutlej
D. Teesta",B,Geography,Geography -> Antecedent River Drainage & Brahmaputra,2026
"Which of the following with reference to Indian States is/are **not** correct?

1. Uttar Pradesh shares its boundary with the highest number of other Indian States.
2. Rajasthan shares the longest international border among all Indian States.
3. Sikkim is the only State that shares its boundary with just one other Indian State.

Select the answer using the code given below:","A. 1 only
B. 1 and 2
C. 2 and 3
D. 3 only",C,Geography,Geography -> Political Geography of Indian States,2026
"Which of the following statements with regard to the arrival of Amur Falcons at Doyang Lake in Nagaland each year from Mongolia is/are correct?

1. It showcases how sustained local conservation efforts can contribute to the arrival and protection of international migratory birds.
2. It reflects the global success of advanced tracking technologies that guide migratory birds back to their stopover sites.
3. It confirms that Amur Falcons have adapted to permanent residency in India due to favourable habitat changes.

Select the answer using the code given below:","A. 1 only
B. 1 and 2
C. 2 and 3
D. 3 only",A,Environment & Ecology,Environment & Ecology -> Migratory Birds & Amur Falcon,2026
"Which among the following is/are the objective(s) of the Rainfed Area Development (RAD) initiative under the National Mission for Sustainable Agriculture (NMSA)?

1. Encouraging monoculture in rainfed areas
2. Increasing rice cultivation in irrigated regions
3. Enhancing productivity and minimising climatic risks through Integrated Farming Systems (IFS)

Select the answer using the code given below:","A. 1 only
B. 1 and 2
C. 2 and 3
D. 3 only",A,Society,Society -> Agriculture Schemes & Rainfed Area Development,2026
"Which of the following is/are the most significant implication(s) of obtaining Oeko-Tex certification for Eri Silk in the global textile industry?

1. It allows Indian exporters to compete in high-end markets that prioritise chemical-free products.
2. It confirms that Eri Silk meets international safety, environmental, and quality standards, enabling its entry into premium eco-conscious markets.

Select the answer using the code given below:","A. 1 only
B. 2 only
C. Both 1 and 2
D. Neither 1 nor 2",C,Economy,Economy -> Textile Sector & Eri Silk Certification,2026
"Ships from which of the following countries have to cross the Strait of Hormuz to reach out to the Indian Ocean?

1. Bahrain
2. Syria
3. Qatar
4. Egypt

Select the answer using the code given below:","A. 1 and 2
B. 1 and 3
C. 2 and 3
D. 3 and 4",D,Geography,Geography -> Middle East Maritime Straits & Chokepoints,2026
"Tungurahua Volcano, which was declared a Global Geopark by UNESCO in 2025, is situated in which one among the following countries ?","A. Ecuador
B. Peru
C. Bolivia
D. Colombia",B,Geography,Geography -> Volcanism & UNESCO Global Geoparks,2026
"With reference to Madhav National Park, which of the following statements is/are correct ?

1. It was declared a Tiger Reserve in India in 2025.
2. Sakhya Sagar, which is designated as a Ramsar Site, is situated within this National Park.
3. Its area is shared between Madhya Pradesh and Rajasthan.

Select the answer using the code given below :","A. 1 only
B. 1 and 2
C. 2 and 3
D. 3 only",B,Environment & Ecology,Environment & Ecology -> Protected Areas & Tiger Reserves,2026
"With reference to the climate of Andaman and Nicobar Islands, which of the following statements is/are correct ?

1. The climate can be defined as a humid, tropical coastal climate.
2. It receives rainfall from both South-west monsoon and North-east monsoon.
3. Maximum precipitation is between December and May.

Select the answer using the code given below :","A. 1 only
B. 1 and 2
C. 2 and 3
D. 3 only",C,Geography,Geography -> Island Climatology & Andaman & Nicobar,2026
"Which of the following geographical features or phenomena is/are associated with the Peninsular Block of India ?

1. Submergence of parts of the western coast due to tectonic activity
2. Presence of residual mountain ranges such as the Veliconda hills and Mahendragiri hills
3. Deep, V-shaped river valleys formed by fast-flowing rivers

Select the answer using the code given below :","A. 1 only
B. 1 and 2
C. 2 and 3
D. 3 only",A,Geography,Geography -> Peninsular Block Geomorphology,2026
"Consider the following statements with reference to the Sagarmala Programme of the Government of India :

I. The Sagarmala Programme seeks to achieve port-led economic growth through cost-effective and sustainable coastal infrastructure.
II. The success of the Sagarmala Programme is reflected in significant growth in coastal and inland waterway shipping, along with improved global port rankings.
III. Sagarmala 2.0 aims to position India as a global maritime innovation hub aligned with Atmanirbhar Bharat and Viksit Bharat 2047 visions.

Which of the following relationships among the above statements is/are correct ?

1. Statement II validates the effectiveness of the strategies envisioned in statement I.
2. Statement III extends the objectives of statement I by embedding them into a future-oriented innovation framework.
3. Statement I contradicts statement III by focusing only on traditional infrastructure instead of modern innovation.

Select the answer using the code given below :","A. 1 only
B. 1 and 2
C. 2 and 3
D. 3 only",B,Economy,Economy -> Sagarmala Programme & Maritime Logistics,2026
"Consider the following statements about Rhynchostylis retusa (Foxtail orchid) :

1. It is an epiphytic orchid.
2. The species is endemic to North-east India.
3. It is the State flower of Arunachal Pradesh and Assam.

Which of the statements given above is/are correct ?","A. 1 only
B. 1 and 3
C. 2 and 3
D. 3 only",C,Environment & Ecology,Environment & Ecology -> Flora & Epiphytic Orchids,2026
"Which one of the following statements with regard to the Moidams, built by the Tai-Ahom kingdom and inscribed as a World Heritage Site by UNESCO, is/are correct ?

1. They acted as army fortresses.
2. They were recreation centres of the Royals and Nobles.
3. They were burial grounds of the Royals and Nobles.
4. They were battle drill centres of the Royals and Nobles.

Select the answer using the code given below :","A. 1 only
B. 1 and 3
C. 3 only
D. 2 and 4",C,Art & Culture,Art & Culture -> UNESCO World Heritage Sites & Moidams,2026
